Species,Code,ASD code (prefix),From ASD spectra,To ASD spectra,Site date
Dioclea wilsonii,L31_10,L31,28,30,FS070307
Lonchocarpus longifolium,T11_01,T11,1,3,FS070307
Lonchocarpus longifolium,T11_02,T11,4,6,FS070307
Lonchocarpus longifolium,T11_03,T11,7,9,FS070307
Lonchocarpus longifolium,T11_04,T11,10,12,FS070307
Lonchocarpus longifolium,T11_05,T11,13,15,FS070307
Lonchocarpus longifolium,T11_06,T11,16,18,FS070307
Lonchocarpus longifolium,T11_07,T11,19,21,FS070307
Lonchocarpus longifolium,T11_08,T11,22,24,FS070307
Lonchocarpus longifolium,T11_09,T11,25,27,FS070307
Lonchocarpus longifolium,T11_10,T11,28,30,FS070307
